;;;;;
Print as PDF!;;;;;
;;;;;
;;;;;
;;;;;
Building type;;Construction year class;Building variant;;
German national code;TABULA Code;;;;
;;;;;
;;;;;
Gebäudetyp;;"Baualters-
klasse";Gebäudevariante;;
Code;TABULA Code;;;;
;;;;living_space_m2;living_space_share
;;;;3.778,2;
GMH_E;DE.N.AB.05.Gen;1958 ... 1968;003;0,5;0,00011978
GMH_F;DE.N.AB.06.Gen;1969 ... 1978;003;1,7;0,000455977
HH_E;DE.N.AB.05.HR;1958 ... 1968;003;;0
HH_F;DE.N.AB.06.HR;1969 ... 1978;003;;0
EFH_F/F;DE.N.SFH.06.LightFrame;1969 ... 1978;003;;0
NBL_MFH_D;DE.East.MFH.04.Gen;1949 ... 1957;003;;0
NBL_MFH_E;DE.East.MFH.05.Gen;1958 ... 1968;003;;0
NBL_GMH_F;DE.East.AB.06.Gen;1969 ... 1978;003;;0
NBL_GMH_G;DE.East.AB.07.Gen;1979 ... 1983;003;;0
NBL_GMH_H;DE.East.AB.08.Gen;1984 ... 1994;003;;0
NBL_HH_F;DE.East.AB.06.HR;1969 ... 1978;003;;0
NBL_HH_G;DE.East.AB.07.HR;1979 ... 1983;003;;0
EFH_K;DE.N.SFH.11.Gen;2010 ... 2015;001;12,9;0,003417179
;;;002;42,0;0,0111257
;;;003;5,1;0,001350978
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
RH_K;DE.N.TH.11.Gen;2010 ... 2015;001;1,9;0,000510329
;;;002;6,3;0,001661537
;;;003;0,8;0,000201758
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
MFH_K;DE.N.MFH.11.Gen;2010 ... 2015;001;6,6;0,001757528
;;;002;21,6;0,005722186
;;;003;2,6;0,000694837
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
EFH_L;DE.N.SFH.12.Gen;2016 ... ;001;13,4;0,003550584
;;;002;43,7;0,01156004
;;;003;5,3;0,001403719
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
RH_L;DE.N.TH.12.Gen;2016 ... ;001;2,2;0,000582008
;;;002;7,2;0,001894911
;;;003;0,9;0,000230096
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
MFH_L;DE.N.MFH.12.Gen;2016 ... ;001;10,5;0,002777132
;;;002;34,2;0,009041826
;;;003;4,1;0,001097936
;;;011;;0
;;;012;;0
;;;013;;0
;;;021;;0
;;;022;;0
;;;023;;0
